Rank,School,Babcock,PubPriv,Tuition,Enrollment,Acceptance,Retention,Graduation,Type
69,University of Minnesota at Twin Cities,Class 1,Public,13555,51853,49.5,90,73,University
154,University of Minnesota-Morris,None,Private,12584,1896,60,82,60,College
150,University of Mississippi,None,Public,6760,18794,61.1,82,58,University
97,University of Missouri,Class 1,Public,9415,34748,81.5,85,71,University
201,University of Missouri at Kansas City,None,Public,9456,16019,67.6,73,48,University
201,University of Montana,Class 2,Public,6276,12479,95.4,73,48,University
101,University of Nebraska at Lincoln,Class 1,Public,8068,24207,64.4,84,65,University
181,University of Nevada at Reno,Class 2,Public,6154,18227,83,79,54,University
97,University of New Hampshire,Class 2,Public,16496,15301,77.9,87,77,University
181,University of New Mexico,None,Public,7274,29033,64.6,77,46,University
146,University of North Carolina Asheville,None,Public,6241,3751,63.8,81,55,College
30,University of North Carolina at Chapel Hill,Class 2,Public,8340,29278,27.6,97,89,University
201,University of North Carolina at Charlotte,None,Public,6105,26232,68.5,78,53,University
190,University of North Carolina at Greensboro,None,Public,6388,18172,60,77,54,University
173,University of North Dakota,Class 2,Public,7254,15250,73.7,77,54,University
18,University of Notre Dame,Class 2,Private,44605,12126,23.3,98,95,University
101,University of Oklahoma,Class 2,Public,7341,31086,79.1,84,66,University
109,University of Oregon,Class 2,Public,9763,24518,74.2,85,68,University
7,University of Pennsylvania,Class 1,Private,45890,21339,12.6,98,96,University
62,University of Pittsburgh,Class 2,Public,17100,28769,56.1,92,79,University
76,University of Puget Sound,None,Private,41868,2857,82.7,87,77,College
152,University of Rhode Island,None,Public,12450,16451,76.9,81,63,University
25,University of Richmond,Class 2,Private,45320,3626,30.3,93,83,College
32,University of Rochester,Class 2,Private,45372,10510,35.3,96,85,University
91,University of San Diego,None,Private,41392,8105,42.6,88,76,University
117,University of San Francisco,None,Private,40294,10017,69.2,85,67,University
112,University of South Carolina,None,Public,10816,31288,60.6,87,72,University
190,University of South Dakota,Class 3,Public,8022,10284,88.6,75,51,University
170,University of South Florida,None,Public,6410,40111,43.2,88,57,University
23,University of Southern California,Class 2,Private,46298,39958,19.9,97,90,University
112,University of St. Thomas,None,Private,34013,10316,86.7,88,74,University
101,University of Tennessee,Class 2,Public,9684,29833,67.3,85,66,University
52,University of Texas at Austin,Class 1,Public,9790,52186,46.8,92,79,University
142,University of Texas at Dallas,None,Public,11806,19727,52,84,64,University
112,University of the Pacific,Class 3,Private,39810,6652,37.8,85,63,University
86,University of Tulsa,None,Private,33702,4326,40.7,87,66,University
121,University of Utah,Class 2,Public,7534,32388,82.6,86,59,University
82,University of Vermont,Class 1,Public,15718,13097,76.7,86,76,University
23,University of Virginia,Class 1,Public,12458,23907,29.6,97,93,University
52,University of Washington,Class 1,Public,12383,42568,59.2,93,80,University
41,University of Wisconsin at Madison,Class 1,Public,10403,42820,54.6,95,83,University
161,University of Wyoming,Class 2,Public,4404,12903,95.7,74,54,University
82,Ursinus College,Class 2,Private,44530,1680,69.8,90,74,College
190,Utah State University,None,Public,6183,28786,96.7,72,50,University
